user_id,segmento_id,segmento_nombre,tono,canal,horario,estilo_comunicacion,prop_tarjeta_credito_hey,prop_inversion_hey,prop_seguro_vida,prop_seguro_compras,prop_credito_personal,prop_credito_nomina,prop_credito_auto,prop_tarjeta_credito_garantizada,prop_cuenta_negocios,producto_top_1,producto_top_2,producto_top_3,flag_riesgo_churn,flag_uso_atipico,flag_credito_estresado,noise_score_usuario,ingreso_mensual_mxn,score_buro,antiguedad_dias,ocupacion,nivel_educativo,satisfaccion_1_10,dias_desde_ultimo_login,es_hey_pro,nomina_domiciliada,conv_n_total,conv_frustracion,conv_urgencia,intent_credito,intent_inversion
USR-00011,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.1105,0.0,0.0,0.0,0.0096,0.0,0.0013,Seguro de Vida,,,0,0,0,0.0,60000,592,1702,1,2,10.0,7,False,True,1,0,0,0,0
USR-00012,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.0,0.0042,0.0122,0.0,0.0,0.0,0.0,0.5567,0.0,Tarjeta Garantizada,,,0,0,1,0.0,18000,482,664,1,1,5.0,9,True,False,1,0,0,1,0
USR-00013,0,PYME Emprendedor,formal,texto,09:00-11:00 y 15:00-17:00,"propositivo, basado en datos, sin emojis",0.1168,0.0085,0.0531,0.0,0.0008,0.0,0.0,0.0,0.0001,Tarjeta de Crédito Hey,,,0,1,0,0.0,26000,612,953,1,1,10.0,5,False,True,2,0,0,0,0
USR-00014,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0584,0.1007,0.0,0.0,0.0,0.0066,0.0,0.0,Seguro de Vida,,,0,0,0,0.0,39000,575,1698,1,2,6.0,9,False,True,2,0,0,5,0
USR-00015,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.1168,0.3963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inversión Hey,Tarjeta de Crédito Hey,,0,0,0,0.05,19500,484,373,1,0,9.0,5,False,True,9,0,0,7,0
USR-00016,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.6706,0.0052,0.0008,0.0,0.0,0.0,0.0,Seguro de Vida,,,0,0,0,0.0,18000,749,1074,1,0,10.0,4,True,True,1,0,0,1,0
USR-00017,0,PYME Emprendedor,formal,texto,09:00-11:00 y 15:00-17:00,"propositivo, basado en datos, sin emojis",0.0,0.0,0.1154,0.0,0.0,0.0,0.0,0.0,0.0,Seguro de Vida,,,0,1,0,0.0,25000,662,181,4,2,7.0,14,False,False,1,0,0,0,0
USR-00018,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.1305,0.3713,0.0052,0.0,0.0,0.0,0.0,0.0,Seguro de Vida,Inversión Hey,,0,0,0,0.0,22000,720,1491,1,0,7.0,4,True,True,1,0,0,0,0
USR-00019,1,Digital Básico,informal,texto,20:00-01:00,"directo, corto, con emojis ocasionales",0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0036,0.0001,,,,0,0,0,0.0,15500,376,917,1,1,6.0,111,False,True,1,0,0,2,0
USR-00020,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.8886,0.5787,0.0,0.0008,0.0,0.0023,0.0,0.0045,Inversión Hey,Seguro de Vida,,0,0,0,0.0,36500,821,1694,4,0,7.0,3,True,False,2,0,0,0,0
USR-00021,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0082,0.0055,0.0,0.0,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,20000,611,60,1,3,7.0,4,True,True,1,0,0,0,0
USR-00022,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0004,0.0,0.0,0.0408,0.0,0.001,0.0,0.426,Cuenta Negocios,,,0,0,0,0.2308,36000,803,134,2,1,8.0,10,True,False,6,0,0,4,0
USR-00023,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.1237,0.0,0.3817,0.0,0.0,0.0,0.0,0.0,0.0,Seguro de Vida,Tarjeta de Crédito Hey,,0,0,0,1.0,12500,570,1475,1,0,6.0,17,False,True,1,0,0,0,0
USR-00024,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0885,,,,0,0,0,0.0,51000,656,656,1,2,9.0,11,True,False,1,0,0,2,0
USR-00025,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.2503,0.2991,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,Inversión Hey,Tarjeta de Crédito Hey,,0,0,0,0.2,14000,533,229,1,0,8.0,12,False,True,2,0,0,0,0
USR-00026,0,PYME Emprendedor,formal,texto,09:00-11:00 y 15:00-17:00,"propositivo, basado en datos, sin emojis",0.0,0.0,0.0,0.025,0.0008,0.0,0.0,0.0,0.0001,,,,0,1,0,0.0,22500,770,212,1,2,8.0,3,True,False,1,0,0,0,0
USR-00027,4,Ahorrador Cauteloso,simple,voz,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0205,0.0,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,23000,769,1773,3,2,7.0,3,False,False,1,1,0,0,0
USR-00028,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0099,0.0008,0.0,0.0,0.0,0.0001,,,,0,0,0,0.25,28000,564,757,2,1,8.0,0,True,False,1,0,0,0,0
USR-00029,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0033,0.0,0.0,0.0,0.0,0.68,0.0,0.0,Crédito Auto,,,0,0,0,0.0,85000,584,332,4,0,10.0,11,False,False,1,0,0,0,0
USR-00030,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.8816,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0001,Tarjeta de Crédito Hey,,,0,0,0,0.0,17500,622,1205,2,0,8.0,1,True,False,1,0,0,0,0
USR-00031,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.0062,0.0,0.0,0.0,0.0334,0.0,0.0,0.0118,0.0001,,,,0,0,1,0.0,24000,329,1069,1,1,5.0,15,False,False,3,0,0,0,0
USR-00032,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.0952,0.0818,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,21500,833,1052,1,0,10.0,5,False,False,1,0,0,1,0
USR-00033,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.0,0.0,0.0,0.0,0.2583,0.0,0.0,0.161,0.0001,Crédito Personal,Tarjeta Garantizada,,0,0,0,0.0,15500,422,1310,2,2,5.0,13,False,False,3,0,0,3,0
USR-00034,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.3398,0.1163,0.0,0.0,0.0017,0.0,0.0001,Seguro de Vida,Seguro de Compras,,0,0,0,0.0,34000,755,1019,1,2,7.0,5,True,False,1,0,0,0,0
USR-00035,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.1004,0.2305,0.0,0.0,0.0007,0.0,0.0001,Seguro de Compras,Seguro de Vida,,0,0,0,0.0,15000,752,165,1,2,10.0,1,True,False,1,0,0,0,0
USR-00036,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.367,0.0,0.0,0.0002,0.0,0.1371,0.0,0.0,Inversión Hey,Crédito Auto,,0,0,0,0.3333,13500,690,820,1,2,8.0,8,False,True,3,0,0,1,0
USR-00037,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.3879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,Tarjeta de Crédito Hey,,,0,0,0,0.3333,15000,760,1370,1,1,10.0,1,False,False,1,0,0,1,0
USR-00038,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.2664,0.0,0.2061,0.0,0.0008,0.0,0.0,0.0,0.0,Tarjeta de Crédito Hey,Seguro de Vida,,0,0,0,0.0,34500,755,1229,1,0,9.0,4,True,True,2,0,0,0,0
USR-00039,1,Digital Básico,informal,texto,20:00-01:00,"directo, corto, con emojis ocasionales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0001,,,,0,0,0,0.3333,27500,626,313,4,0,6.0,90,False,False,1,0,0,0,0
USR-00040,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.8744,0.0,0.0784,0.0,0.0,0.0,0.001,0.0,0.0001,Tarjeta de Crédito Hey,,,0,0,0,0.3333,33000,703,876,1,2,10.0,6,False,False,1,0,0,2,0
USR-00041,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0042,0.0188,0.0,0.0,0.1793,0.0,0.0,0.0001,Crédito Nómina,,,0,0,0,0.0,19000,615,843,1,0,8.0,11,True,True,1,0,0,0,0
USR-00042,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.1879,0.0012,0.0,0.0,0.0,0.0,0.0,0.0902,0.0001,Tarjeta de Crédito Hey,,,0,0,0,0.0,18000,412,1625,1,2,3.0,15,False,True,1,0,0,1,0
USR-00043,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0062,0.0,0.0,0.0,0.192,0.0,0.0528,0.0,0.0,Crédito Personal,,,0,0,0,0.0,89000,696,1221,2,0,10.0,11,True,False,2,0,0,0,0
USR-00044,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.025,0.0008,0.0,0.0,0.0,0.0001,,,,0,0,0,0.3333,28000,692,1589,4,3,7.0,3,True,False,1,0,0,0,0
USR-00045,1,Digital Básico,informal,texto,20:00-01:00,"directo, corto, con emojis ocasionales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0001,,,,1,0,0,0.0,12500,715,482,1,0,4.0,138,False,True,1,0,0,0,0
USR-00046,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0066,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,19500,642,1669,1,2,9.0,0,True,False,2,0,0,0,0
USR-00047,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.6186,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,Inversión Hey,,,0,0,0,0.0,19500,675,1142,1,0,10.0,14,False,True,2,0,0,0,0
USR-00048,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.3345,0.0052,0.0,0.0,0.0,0.0,0.0,Seguro de Vida,,,0,0,0,0.0,55000,694,1049,4,0,7.0,5,False,False,2,0,0,0,0
USR-00049,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0001,,,,0,0,0,0.1667,12000,452,1444,1,1,9.0,3,True,False,1,0,0,1,0
USR-00050,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0004,0.0018,0.0,0.9389,0.0,0.0,0.0,0.0,Crédito Personal,,,0,0,0,0.25,83000,762,1447,4,1,7.0,9,True,False,1,1,0,0,0
USR-00051,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0062,0.0004,0.0018,0.0,0.0593,0.0,0.0857,0.0,0.0,,,,0,0,0,0.1429,20000,617,1007,2,0,8.0,10,True,False,4,0,0,1,0
USR-00052,1,Digital Básico,informal,texto,20:00-01:00,"directo, corto, con emojis ocasionales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,,,,0,0,0,0.3333,34000,629,1008,3,0,8.0,157,False,False,1,0,0,0,0
USR-00053,0,PYME Emprendedor,formal,voz,09:00-11:00 y 15:00-17:00,"propositivo, basado en datos, sin emojis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0774,0.0001,,,,0,1,0,0.0,9500,576,1109,1,2,7.0,166,True,False,1,0,0,1,0
USR-00054,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0477,0.1281,0.0,0.0008,0.0,0.0,0.0,0.0,Seguro de Vida,,,0,0,0,0.0,23000,665,1154,1,0,6.0,4,False,True,1,0,0,0,0
USR-00055,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.0,0.3806,0.0002,0.0,0.0017,0.0,0.0,Seguro de Compras,,,0,0,0,0.0,49500,850,258,1,0,8.0,2,True,False,1,0,0,0,0
USR-00056,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0259,0.0002,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,17500,693,457,4,0,9.0,3,True,False,3,0,0,0,0
USR-00057,0,PYME Emprendedor,formal,texto,09:00-11:00 y 15:00-17:00,"propositivo, basado en datos, sin emojis",0.0,0.0,0.3919,0.0052,0.0002,0.0,0.0,0.0,0.0084,Seguro de Vida,,,0,1,0,0.0,29000,599,1012,1,0,9.0,5,False,False,1,1,0,0,0
USR-00058,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.7891,0.0,0.0,0.0,0.0,0.0,0.0007,0.1932,0.0001,Tarjeta de Crédito Hey,Tarjeta Garantizada,,0,0,1,0.0,20500,450,1475,1,1,7.0,4,False,False,2,1,0,2,0
USR-00059,1,Digital Básico,informal,texto,20:00-01:00,"directo, corto, con emojis ocasionales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0001,,,,1,0,0,0.0,32500,507,180,4,0,5.0,80,False,False,1,0,0,0,0
USR-00060,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0291,0.0021,0.0222,0.0,0.0,0.0,0.0007,0.0,0.9339,Cuenta Negocios,,,0,0,0,1.0,66000,530,1759,2,2,7.0,10,True,False,1,0,0,0,0
USR-00061,0,PYME Emprendedor,formal,texto,09:00-11:00 y 15:00-17:00,"propositivo, basado en datos, sin emojis",0.0,0.0,0.0,0.0,0.0206,0.0,0.0,0.0,0.0,,,,0,1,0,0.0,49000,761,384,4,0,9.0,13,False,False,1,0,0,0,0
USR-00062,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.0,0.0042,0.0018,0.0,0.0,0.0,0.0147,0.4543,0.0,Tarjeta Garantizada,,,0,0,1,0.0,10000,520,205,1,2,4.0,10,False,False,3,0,0,1,0
USR-00063,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.0,0.4965,0.0002,0.0,0.0055,0.0,0.0,Seguro de Compras,,,0,0,0,0.2857,57500,686,277,4,0,7.0,1,True,False,1,0,0,0,0
USR-00064,0,PYME Emprendedor,formal,texto,09:00-11:00 y 15:00-17:00,"propositivo, basado en datos, sin emojis",0.0239,0.0,0.0,0.0,0.0543,0.0,0.0,0.0189,0.0001,,,,0,1,1,0.0,14000,345,1466,1,0,7.0,10,False,False,2,0,0,0,0
USR-00065,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0357,0.0002,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,9000,639,584,3,2,9.0,0,True,False,1,0,0,0,0
USR-00066,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.2503,0.317,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,Inversión Hey,Tarjeta de Crédito Hey,,0,0,0,0.3333,17000,744,429,1,3,8.0,16,False,True,3,0,0,1,0
USR-00067,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.022,0.0004,0.0,0.0,0.056,0.0,0.0,0.0259,0.0001,,,,0,0,1,0.0,12500,444,956,1,2,6.0,18,False,True,2,0,0,0,0
USR-00068,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.2785,0.283,0.0,0.0,0.0008,0.0,0.0,0.0028,0.0,Inversión Hey,Tarjeta de Crédito Hey,,0,0,0,0.1538,37000,582,942,1,0,7.0,16,False,True,1,0,0,2,0
USR-00069,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.0,0.0,0.1315,0.0,0.0,0.0,0.6944,Cuenta Negocios,Crédito Personal,,0,0,0,0.0,45000,640,1120,2,1,7.0,14,False,False,1,0,0,1,0
USR-00070,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.0,0.0,0.0,0.0,0.1491,0.0,0.0,0.4492,0.0001,Tarjeta Garantizada,Crédito Personal,,0,0,0,0.0,19000,550,1495,1,2,6.0,2,True,False,1,0,0,0,0
USR-00071,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,16500,597,672,3,2,8.0,3,False,False,1,0,0,0,0
USR-00072,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.0603,0.0188,0.0,0.0,0.0008,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,19500,579,1018,1,0,9.0,15,True,True,2,0,0,0,0
USR-00073,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.3627,0.0,0.0,0.0,0.0,0.0,0.0,Seguro de Vida,,,0,0,0,0.0,46000,584,1230,1,1,10.0,9,True,False,1,0,0,0,0
USR-00074,1,Digital Básico,informal,texto,20:00-01:00,"directo, corto, con emojis ocasionales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0001,,,,0,0,0,0.0,5500,670,1806,3,2,6.0,163,False,False,2,0,0,0,0
USR-00075,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0133,0.0,0.0018,0.0,0.1455,0.0,0.0196,0.0,0.0,Crédito Personal,,,0,0,0,0.0,42000,676,1415,2,0,6.0,12,False,False,1,0,0,0,1
USR-00076,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0012,0.0073,0.0,0.0008,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,14500,555,422,1,2,8.0,2,True,False,2,0,0,0,0
USR-00077,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.2265,0.0,0.0,0.0,0.7337,0.0,0.0,0.0,Crédito Nómina,Inversión Hey,,0,0,0,0.3333,11000,713,1426,1,2,10.0,6,True,True,2,0,0,2,0
USR-00078,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0004,0.0036,0.0,0.172,0.0,0.0247,0.0,0.0,Crédito Personal,,,0,0,0,0.2222,95000,802,907,2,0,8.0,9,True,False,2,0,0,1,0
USR-00079,1,Digital Básico,informal,texto,20:00-01:00,"directo, corto, con emojis ocasionales",0.0,0.0,0.0,0.0,0.0206,0.0,0.0,0.0036,0.0123,,,,1,0,0,1.0,14000,464,1594,0,0,4.0,38,False,False,1,0,0,0,0
USR-00080,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.1237,0.0,0.0,0.0,0.0419,0.0,0.0,0.0189,0.0001,Tarjeta de Crédito Hey,,,0,0,1,0.0,13500,470,1112,1,2,7.0,12,False,False,1,0,0,0,0
USR-00081,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,32500,653,1038,4,3,8.0,2,False,False,1,0,0,0,0
USR-00082,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.044,0.0144,0.0,0.0,0.0857,0.0,0.0,0.0001,,,,0,0,0,0.0,28500,504,1025,1,3,8.0,16,True,True,1,0,0,0,0
USR-00083,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.5058,0.0004,0.0,0.0,0.2739,0.0,0.0,0.0,0.0001,Tarjeta de Crédito Hey,Crédito Personal,,0,0,1,0.0,24000,300,1442,1,2,3.0,18,True,False,4,0,0,0,0
USR-00084,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.099,0.0,0.0,0.0,0.0017,0.0,0.0013,,,,0,0,0,0.0769,67000,648,946,1,0,9.0,19,True,True,3,0,0,0,0
USR-00085,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.0,0.0033,0.0,0.0,0.6843,0.004,0.0096,0.1497,0.0,Crédito Personal,Tarjeta Garantizada,,0,0,1,0.0,13000,316,538,1,0,5.0,16,True,True,1,0,0,0,0
USR-00086,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.2796,0.0,0.0,0.0,0.0,0.0,0.0,Seguro de Vida,,,0,0,0,0.0,37000,821,1718,4,0,8.0,19,False,False,1,0,0,0,0
USR-00087,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0038,0.0002,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,27500,711,811,3,1,9.0,0,True,False,2,0,0,1,0
USR-00088,1,Digital Básico,informal,texto,20:00-01:00,"directo, corto, con emojis ocasionales",0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0045,,,,0,0,0,0.3333,6000,611,1077,3,2,6.0,105,False,False,1,0,0,0,0
USR-00089,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0042,0.0055,0.0,0.0,0.0,0.0,0.0,0.0001,,,,0,0,0,0.25,12500,746,160,1,2,10.0,5,False,True,1,0,0,0,0
USR-00090,0,PYME Emprendedor,formal,texto,09:00-11:00 y 15:00-17:00,"propositivo, basado en datos, sin emojis",0.0,0.0004,0.0,0.0,0.0,0.0,0.4272,0.0,0.0,Crédito Auto,,,0,1,0,0.0,99000,650,1690,4,0,7.0,14,False,False,1,0,0,0,0
USR-00091,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0247,0.0,0.0,0.0002,0.0,0.0,0.0,0.0013,,,,0,0,0,0.3333,70000,785,858,1,0,9.0,15,True,False,1,0,0,0,0
USR-00092,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0001,,,,0,0,0,0.0,21000,558,1231,1,0,3.0,23,False,False,2,0,0,1,0
USR-00093,3,Familia Establecida,semi-formal,texto,08:00-10:00 y 18:00-20:00,"empático, con beneficio concreto",0.2185,0.0027,0.0,0.0,0.0,0.0,0.0,0.0774,0.0001,Tarjeta de Crédito Hey,,,0,0,1,0.0,16500,314,1298,4,0,6.0,2,True,False,1,0,0,0,0
